d_loss,epoch,g_loss,seg_loss,st_loss,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_loss,val_mIoU
0.6366239786148071,0,1.34966242313385,1.33447265625,0.05953047052025795,49,,,,,,,
0.6464377045631409,0,1.0261636972427368,1.010152816772461,0.08689075708389282,99,,,,,,,
0.678739070892334,0,0.9920927882194519,0.9743500351905823,0.09999804198741913,149,,,,,,,
0.6270965337753296,0,1.01603364944458,0.9966721534729004,0.11243847012519836,199,,,,,,,
0.657986581325531,0,1.0697801113128662,1.0358003377914429,0.2719690203666687,249,,,,,,,
0.6681709885597229,0,1.0332368612289429,1.0032565593719482,0.22994372248649597,299,,,,,,,
0.6631883382797241,0,1.1007602214813232,1.08307683467865,0.10390665382146835,349,,,,,,,
0.6589258313179016,0,1.0839428901672363,1.060534954071045,0.15228867530822754,399,,,,,,,
0.6239579319953918,0,0.8830909132957458,0.8538243770599365,0.19494476914405823,449,,,,,,,
0.6872702836990356,0,0.7803137898445129,0.7568913698196411,0.16734223067760468,499,,,,,,,
,0,,,,538,,,,0.8571931719779968,0.8797793984413147,0.8187131881713867,0.7567858099937439
,0,,,,538,0.8095801472663879,0.808451235294342,0.6827775835990906,,,,
0.665432333946228,1,1.0637233257293701,1.0227919816970825,0.31719180941581726,549,,,,,,,
