d_loss,epoch,g_loss,seg_loss,st_loss,step,val_F1,val_OA,val_loss,val_mIoU
0.646560788154602,0,1.4098126888275146,1.3869925737380981,0.14693157374858856,49,,,,
0.642090916633606,0,1.1211063861846924,1.1053240299224854,0.0810404047369957,99,,,,
0.6974480748176575,0,1.089629888534546,1.072922945022583,0.09336569160223007,149,,,,
0.6323917508125305,0,1.0089057683944702,0.9898344278335571,0.10997512191534042,199,,,,
0.6521080136299133,0,1.0634008646011353,1.0291748046875,0.2672880291938782,249,,,,
0.6311301589012146,0,0.9432014226913452,0.9180659651756287,0.1606622338294983,299,,,,
0.6536761522293091,0,1.0185046195983887,1.0002038478851318,0.11215423047542572,349,,,,
0.6248366832733154,0,1.0667566061019897,1.041212797164917,0.16514843702316284,399,,,,
0.6511244773864746,0,0.9384023547172546,0.9002079963684082,0.3028830289840698,449,,,,
0.7169253826141357,0,0.7758045196533203,0.7513351440429688,0.17013177275657654,499,,,,
,0,,,,538,0.8640583753585815,0.8835726380348206,0.7972854375839233,0.7666521668434143
